Date,Electronics,Clothing,Groceries
2023-01-01,5342.17,2898.07,7755.37
2023-01-02,4977.48,3595.52,8388.69
2023-01-03,6953.8,2501.96,8269.12
2023-01-04,5690.68,1759.09,8851.7
2023-01-05,3910.74,4129.47,8389.97
2023-01-06,3454.8,2568.64,7451.21
2023-01-07,4304.35,2756.57,7914.98
2023-01-08,5152.66,2827.13,7861.88
2023-01-09,4220.5,2518.24,8127.62
2023-01-10,4372.37,3881.07,8546.62
2023-01-11,5026.07,3299.56,8092.92
2023-01-12,4658.03,2756.97,8094.25
2023-01-13,2952.3,1979.46,8005.02
2023-01-14,6077.18,3243.04,8405.29
2023-01-15,5844.96,1039.51,7715.55
2023-01-16,3714.88,3186.2,7271.5
2023-01-17,5056.89,4074.54,8322.29
2023-01-18,3883.45,3051.65,8187.58
2023-01-19,4391.2,3965.06,8661.71
2023-01-20,5486.15,2016.66,6786.04
2023-01-21,5810.05,4630.83,7949.83
2023-01-22,5786.64,3877.83,8053.36
2023-01-23,5244.84,3380.77,7244.56
2023-01-24,6275.21,2521.28,7956.7
2023-01-25,4389.44,2388.38,8593.46
2023-01-26,4611.37,2943.27,9043.06
2023-01-27,2405.37,3962.22,8491.2
2023-01-28,4906.94,1947.58,7837.76
2023-01-29,5579.69,3008.33,8630.76
2023-01-30,5285.26,3587.38,8455.7
2023-01-31,4375.98,3743.48,7757.8
2023-02-01,5844.53,3584.99,7709.1
2023-02-02,4926.17,1865.93,7915.75
2023-02-03,5766.43,3905.42,7474.58
2023-02-04,5486.15,3053.75,7844.6
2023-02-05,6424.51,2131.52,8243.38
2023-02-06,5339.36,2980.67,8519.25
2023-02-07,5609.94,1433.07,7810.57
2023-02-08,4923.28,3462.64,8694.21
2023-02-09,4497.11,2897.83,8325.05
2023-02-10,5490.73,1983.91,8347.83
2023-02-11,6502.73,2767.94,7540.49
2023-02-12,4384.12,2434.03,8903.88
2023-02-13,4751.86,2485.13,8276.68
2023-02-14,5026.65,1191.17,7833.67
2023-02-15,5684.9,1662.27,7745.44
2023-02-16,5345.46,2816.24,7844.77
2023-02-17,5913.06,2678.6,7490.83
2023-02-18,6973.91,3779.18,8494.15
2023-02-19,4361.1,2494.57,7542.04
